instant,dteday,season,temp,hum,windspeed
1,2011-01-01,1,0.24,0.81,0.0
2,2011-01-01,1,0.22,0.8,0.0
3,2011-01-01,1,0.22,0.8,0.0
4,2011-01-01,1,0.24,0.75,0.0
5,2011-01-01,1,0.24,0.75,0.0
6,2011-01-01,1,0.24,0.75,0.0896
7,2011-01-01,1,0.22,0.8,0.0
8,2011-01-01,1,0.2,0.86,0.0
9,2011-01-01,1,0.24,0.75,0.0
10,2011-01-01,1,0.32,0.76,0.0
11,2011-01-01,1,0.38,0.76,0.2537
12,2011-01-01,1,0.36,0.81,0.2836
13,2011-01-01,1,0.42,0.77,0.2836
14,2011-01-01,1,0.46,0.72,0.2985
15,2011-01-01,1,0.46,0.72,0.2836
16,2011-01-01,1,0.44,0.77,0.2985
17,2011-01-01,1,0.42,0.82,0.2985
18,2011-01-01,1,0.44,0.82,0.2836
19,2011-01-01,1,0.42,0.88,0.2537
20,2011-01-01,1,0.42,0.88,0.2537
21,2011-01-01,1,0.4,0.87,0.2537
22,2011-01-01,1,0.4,0.87,0.194
23,2011-01-01,1,0.4,0.94,0.2239
24,2011-01-01,1,0.46,0.88,0.2985
25,2011-01-02,1,0.46,0.88,0.2985
26,2011-01-02,1,0.44,0.94,0.2537
27,2011-01-02,1,0.42,1.0,0.2836
28,2011-01-02,1,0.46,0.94,0.194
29,2011-01-02,1,0.46,0.94,0.194
30,2011-01-02,1,0.42,0.77,0.2985
31,2011-01-02,1,0.4,0.76,0.194
32,2011-01-02,1,0.4,0.71,0.2239
33,2011-01-02,1,0.38,0.76,0.2239
34,2011-01-02,1,0.36,0.81,0.2239
35,2011-01-02,1,0.36,0.71,0.2537
36,2011-01-02,1,0.36,0.66,0.2985
37,2011-01-02,1,0.36,0.66,0.1343
38,2011-01-02,1,0.36,0.76,0.194
39,2011-01-02,1,0.34,0.81,0.1642
40,2011-01-02,1,0.34,0.71,0.1642
41,2011-01-02,1,0.34,0.57,0.194
42,2011-01-02,1,0.36,0.46,0.3284
43,2011-01-02,1,0.32,0.42,0.4478
44,2011-01-02,1,0.3,0.39,0.3582
45,2011-01-02,1,0.26,0.44,0.3284
46,2011-01-02,1,0.24,0.44,0.2985
47,2011-01-02,1,0.22,0.47,0.1642
48,2011-01-03,1,0.22,0.44,0.3582
49,2011-01-03,1,0.2,0.44,0.4179
50,2011-01-03,1,0.16,0.47,0.3881
51,2011-01-03,1,0.16,0.47,0.2836
52,2011-01-03,1,0.14,0.5,0.3881
53,2011-01-03,1,0.14,0.5,0.194
54,2011-01-03,1,0.14,0.5,0.2836
55,2011-01-03,1,0.16,0.43,0.3881
56,2011-01-03,1,0.18,0.43,0.2537
57,2011-01-03,1,0.2,0.4,0.3284
58,2011-01-03,1,0.22,0.35,0.2985
59,2011-01-03,1,0.24,0.35,0.2836
60,2011-01-03,1,0.26,0.3,0.2836
61,2011-01-03,1,0.26,0.3,0.2537
62,2011-01-03,1,0.26,0.3,0.2537
63,2011-01-03,1,0.24,0.3,0.2239
64,2011-01-03,1,0.24,0.32,0.1045
65,2011-01-03,1,0.2,0.47,0.0
66,2011-01-03,1,0.2,0.47,0.1045
67,2011-01-03,1,0.18,0.64,0.1343
68,2011-01-03,1,0.14,0.69,0.1343
69,2011-01-03,1,0.18,0.55,0.1045
70,2011-01-04,1,0.16,0.55,0.1045
71,2011-01-04,1,0.16,0.59,0.1045
72,2011-01-04,1,0.14,0.63,0.1343
73,2011-01-04,1,0.14,0.63,0.0896
74,2011-01-04,1,0.12,0.68,0.1045
75,2011-01-04,1,0.12,0.74,0.1045
76,2011-01-04,1,0.12,0.74,0.1343
77,2011-01-04,1,0.14,0.69,0.1642
78,2011-01-04,1,0.16,0.64,0.2239
79,2011-01-04,1,0.16,0.69,0.3284
80,2011-01-04,1,0.22,0.51,0.2985
81,2011-01-04,1,0.22,0.51,0.1642
82,2011-01-04,1,0.24,0.56,0.194
83,2011-01-04,1,0.26,0.52,0.2239
84,2011-01-04,1,0.28,0.52,0.2537
85,2011-01-04,1,0.3,0.49,0.2537
86,2011-01-04,1,0.28,0.48,0.2239
87,2011-01-04,1,0.26,0.48,0.194
88,2011-01-04,1,0.24,0.48,0.1045
89,2011-01-04,1,0.24,0.48,0.1045
90,2011-01-04,1,0.22,0.64,0.0
91,2011-01-04,1,0.22,0.64,0.0896
92,2011-01-04,1,0.2,0.69,0.0896
93,2011-01-05,1,0.2,0.64,0.0
94,2011-01-05,1,0.16,0.74,0.0896
95,2011-01-05,1,0.16,0.74,0.0896
96,2011-01-05,1,0.24,0.48,0.2239
97,2011-01-05,1,0.22,0.47,0.1642
98,2011-01-05,1,0.2,0.47,0.2239
99,2011-01-05,1,0.18,0.43,0.194
100,2011-01-05,1,0.2,0.4,0.2985
101,2011-01-05,1,0.22,0.37,0.3284
102,2011-01-05,1,0.22,0.37,0.3284
103,2011-01-05,1,0.26,0.33,0.3284
104,2011-01-05,1,0.26,0.33,0.3284
105,2011-01-05,1,0.28,0.3,0.2985
106,2011-01-05,1,0.3,0.28,0.194
107,2011-01-05,1,0.3,0.28,0.194
108,2011-01-05,1,0.3,0.28,0.0896
109,2011-01-05,1,0.24,0.38,0.194
110,2011-01-05,1,0.24,0.38,0.1343
111,2011-01-05,1,0.24,0.38,0.1045
112,2011-01-05,1,0.22,0.47,0.1642
113,2011-01-05,1,0.2,0.51,0.194
114,2011-01-05,1,0.18,0.55,0.1343
115,2011-01-05,1,0.2,0.47,0.0
116,2011-01-06,1,0.18,0.55,0.0
117,2011-01-06,1,0.16,0.64,0.0
118,2011-01-06,1,0.16,0.64,0.0
119,2011-01-06,1,0.16,0.64,0.0896
120,2011-01-06,1,0.14,0.69,0.0896
121,2011-01-06,1,0.14,0.63,0.1045
122,2011-01-06,1,0.16,0.59,0.0
123,2011-01-06,1,0.16,0.59,0.0
124,2011-01-06,1,0.18,0.51,0.0
125,2011-01-06,1,0.2,0.47,0.0
126,2011-01-06,1,0.22,0.44,0.0896
127,2011-01-06,1,0.26,0.35,0.0
128,2011-01-06,1,0.26,0.35,0.1045
129,2011-01-06,1,0.28,0.36,0.1642
130,2011-01-06,1,0.28,0.36,0.0
131,2011-01-06,1,0.26,0.38,0.1642
132,2011-01-06,1,0.22,0.51,0.1642
133,2011-01-06,1,0.22,0.51,0.1343
134,2011-01-06,1,0.22,0.55,0.0896
135,2011-01-06,1,0.2,0.51,0.1642
136,2011-01-06,1,0.22,0.55,0.2239
137,2011-01-06,1,0.22,0.51,0.2836
138,2011-01-06,1,0.2,0.59,0.194
139,2011-01-07,1,0.2,0.64,0.194
140,2011-01-07,1,0.2,0.69,0.2239
141,2011-01-07,1,0.2,0.69,0.2239
142,2011-01-07,1,0.2,0.69,0.1343
143,2011-01-07,1,0.22,0.55,0.0
144,2011-01-07,1,0.2,0.69,0.0
145,2011-01-07,1,0.2,0.69,0.1343
146,2011-01-07,1,0.2,0.51,0.2537
147,2011-01-07,1,0.2,0.47,0.2985
148,2011-01-07,1,0.22,0.37,0.3284
149,2011-01-07,1,0.2,0.4,0.2239
150,2011-01-07,1,0.2,0.37,0.2537
151,2011-01-07,1,0.2,0.37,0.2836
152,2011-01-07,1,0.2,0.4,0.2537
153,2011-01-07,1,0.2,0.37,0.1642
154,2011-01-07,1,0.2,0.37,0.1642
155,2011-01-07,1,0.2,0.37,0.0
156,2011-01-07,1,0.2,0.4,0.0896
157,2011-01-07,1,0.16,0.55,0.0896
158,2011-01-07,1,0.18,0.47,0.1045
159,2011-01-07,1,0.18,0.47,0.1343
160,2011-01-07,1,0.18,0.43,0.1642
161,2011-01-07,1,0.18,0.51,0.1642
162,2011-01-08,1,0.18,0.51,0.1642
163,2011-01-08,1,0.18,0.55,0.0896
164,2011-01-08,1,0.18,0.55,0.0
165,2011-01-08,1,0.18,0.55,0.1642
166,2011-01-08,1,0.18,0.55,0.1642
167,2011-01-08,1,0.16,0.74,0.1642
168,2011-01-08,1,0.16,0.74,0.1642
169,2011-01-08,1,0.16,0.74,0.1045
170,2011-01-08,1,0.16,0.93,0.1045
171,2011-01-08,1,0.16,0.93,0.1045
172,2011-01-08,1,0.18,0.8,0.1642
173,2011-01-08,1,0.2,0.69,0.3881
174,2011-01-08,1,0.2,0.59,0.3582
175,2011-01-08,1,0.2,0.44,0.3284
176,2011-01-08,1,0.2,0.32,0.4925
177,2011-01-08,1,0.2,0.32,0.4478
178,2011-01-08,1,0.18,0.29,0.4478
179,2011-01-08,1,0.16,0.37,0.5522
180,2011-01-08,1,0.14,0.39,0.2985
181,2011-01-08,1,0.14,0.36,0.2537
182,2011-01-08,1,0.12,0.36,0.2537
183,2011-01-08,1,0.12,0.39,0.3582
184,2011-01-08,1,0.12,0.36,0.3881
185,2011-01-08,1,0.1,0.39,0.4478
186,2011-01-09,1,0.1,0.42,0.3881
187,2011-01-09,1,0.1,0.42,0.4627
188,2011-01-09,1,0.1,0.46,0.4627
189,2011-01-09,1,0.1,0.46,0.4179
190,2011-01-09,1,0.08,0.53,0.194
191,2011-01-09,1,0.08,0.53,0.194
192,2011-01-09,1,0.1,0.49,0.2836
193,2011-01-09,1,0.08,0.53,0.194
194,2011-01-09,1,0.1,0.49,0.2836
195,2011-01-09,1,0.12,0.46,0.5224
196,2011-01-09,1,0.14,0.43,0.3881
197,2011-01-09,1,0.16,0.4,0.5224
198,2011-01-09,1,0.18,0.37,0.4478
199,2011-01-09,1,0.2,0.34,0.4478
200,2011-01-09,1,0.22,0.32,0.4627
201,2011-01-09,1,0.22,0.35,0.3582
202,2011-01-09,1,0.2,0.34,0.4478
203,2011-01-09,1,0.18,0.37,0.3881
204,2011-01-09,1,0.16,0.4,0.3284
205,2011-01-09,1,0.16,0.43,0.3284
206,2011-01-09,1,0.14,0.46,0.2537
207,2011-01-09,1,0.14,0.46,0.4179
208,2011-01-09,1,0.14,0.46,0.2985
209,2011-01-09,1,0.12,0.5,0.194
210,2011-01-10,1,0.12,0.5,0.2836
211,2011-01-10,1,0.12,0.5,0.2836
212,2011-01-10,1,0.12,0.5,0.2239
213,2011-01-10,1,0.12,0.5,0.2239
214,2011-01-10,1,0.1,0.54,0.1343
215,2011-01-10,1,0.1,0.54,0.2537
216,2011-01-10,1,0.12,0.5,0.2836
217,2011-01-10,1,0.12,0.5,0.2239
218,2011-01-10,1,0.12,0.5,0.2836
219,2011-01-10,1,0.14,0.5,0.2537
220,2011-01-10,1,0.14,0.5,0.2985
221,2011-01-10,1,0.16,0.47,0.2836
222,2011-01-10,1,0.2,0.4,0.2836
223,2011-01-10,1,0.2,0.4,0.2836
224,2011-01-10,1,0.2,0.4,0.2239
225,2011-01-10,1,0.2,0.4,0.2239
226,2011-01-10,1,0.2,0.4,0.1343
227,2011-01-10,1,0.2,0.4,0.1045
228,2011-01-10,1,0.2,0.4,0.2239
229,2011-01-10,1,0.16,0.47,0.1642
230,2011-01-10,1,0.16,0.5,0.1642
231,2011-01-10,1,0.14,0.59,0.194
232,2011-01-10,1,0.14,0.59,0.1642
233,2011-01-10,1,0.14,0.59,0.1642
234,2011-01-11,1,0.14,0.59,0.1045
235,2011-01-11,1,0.14,0.59,0.1642
236,2011-01-11,1,0.16,0.55,0.194
237,2011-01-11,1,0.16,0.55,0.1343
238,2011-01-11,1,0.16,0.55,0.1343
239,2011-01-11,1,0.16,0.55,0.0
240,2011-01-11,1,0.18,0.51,0.0896
241,2011-01-11,1,0.18,0.51,0.1642
242,2011-01-11,1,0.2,0.51,0.1642
243,2011-01-11,1,0.2,0.47,0.1343
244,2011-01-11,1,0.2,0.51,0.1045
245,2011-01-11,1,0.2,0.59,0.0896
246,2011-01-11,1,0.2,0.59,0.0896
247,2011-01-11,1,0.16,0.8,0.0896
248,2011-01-11,1,0.16,0.86,0.2239
249,2011-01-11,1,0.16,0.86,0.2239
250,2011-01-11,1,0.16,0.93,0.1045
251,2011-01-11,1,0.16,0.93,0.0
252,2011-01-11,1,0.16,0.93,0.194
253,2011-01-11,1,0.16,0.86,0.0896
254,2011-01-11,1,0.16,0.93,0.1045
255,2011-01-11,1,0.16,0.93,0.0896
256,2011-01-12,1,0.16,0.86,0.0896
257,2011-01-12,1,0.16,0.86,0.1045
258,2011-01-12,1,0.14,0.86,0.1343
259,2011-01-12,1,0.14,0.86,0.1642
260,2011-01-12,1,0.12,0.93,0.1343
261,2011-01-12,1,0.14,0.69,0.1343
262,2011-01-12,1,0.16,0.59,0.1642
263,2011-01-12,1,0.16,0.59,0.3284
264,2011-01-12,1,0.18,0.55,0.2239
265,2011-01-12,1,0.2,0.51,0.3881
266,2011-01-12,1,0.2,0.47,0.5821
267,2011-01-12,1,0.22,0.44,0.3582
268,2011-01-12,1,0.2,0.47,0.3284
269,2011-01-12,1,0.2,0.47,0.4179
270,2011-01-12,1,0.22,0.44,0.3284
271,2011-01-12,1,0.2,0.47,0.3582
272,2011-01-12,1,0.2,0.47,0.5224
273,2011-01-12,1,0.18,0.47,0.4179
274,2011-01-12,1,0.16,0.5,0.3284
275,2011-01-12,1,0.16,0.55,0.3284
276,2011-01-12,1,0.16,0.55,0.4478
